dataset,method,method_family,requested_budget_type,requested_budget,actual_structural_storage_ratio,support_node_ratio,support_edge_ratio,raw_hgb_text_byte_ratio,graph_seed_count,training_seed_count,test_micro_f1_mean,test_micro_f1_std,test_macro_f1_mean,test_macro_f1_std,validation_micro_f1_mean,validation_macro_f1_mean,validation_proxy_score,recovery_vs_native_full_micro,recovery_vs_native_full_macro,schema_compatible,target_preserving,official_hgb_exported,official_sehgnn_unmodified,training_executed,eligible_for_main_table,success,failure_type,failure_reason,selected_edge_hash,planner_config_hash,source_path,repo_url
IMDB,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.3,0.3,all_target_preserved,0.3,0.3,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Proportional-relation-budget local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,8c91d18b892f224bce11ddc92cd591d98b243419846c9ec15d242310b6928c0f,d80a17d7361b9f1a939fc3be92417561e2929f64ff21d3cc3b1ab6ca494a6d6b,local:structural_baseline_impl,
DBLP,Random-HG-TP,external_tp_baseline,support_node_ratio,0.5,,0.5,induced_schema_preserving,,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Random-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.,62c6898ea326cea6822e545f90e57b43044f93325d0f4c05fade26337b3b42e9,b2df055784b4b220d0b9cce5ca0364c44d7744426d3a0c4908a36fabeb2a3310,local:external_tp_baseline_impl,
DBLP,Herding-HG-TP,external_tp_baseline,support_node_ratio,0.5,,0.5,induced_schema_preserving,,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Herding-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.,ea66bfc065dcf3b1c68d1cd9b4064e5f10241f08572cbee8680e369d06447bb0,6119ca44ae705647e322c4a63cece1a1edbfb6f471293b2ee697f38d099766e2,local:external_tp_baseline_impl,
DBLP,KCenter-HG-TP,external_tp_baseline,support_node_ratio,0.5,,0.5,induced_schema_preserving,,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,KCenter-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.,e74a784ad43e6b6f74451057d9ac69a2a6184518bf077ae6e9f08372d0284033,f526453df6113eae55ec47de0a8ac9779af8c365d62aab4f0a790dfaed1ca05e,local:external_tp_baseline_impl,
DBLP,GraphSparsify-TP,external_tp_baseline,support_node_ratio,0.5,,0.5,induced_schema_preserving,,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,GraphSparsify-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.,52666a516c03883e114db067dfee44700196538ed85d60af260b852c056bdf5f,b494109dfeac124c18f5e0f267e5da06b9dd7a17794f1d3a3a11c97815b750f7,local:external_tp_baseline_impl,
DBLP,Coarsening-HG-TP,external_tp_baseline,support_node_ratio,0.5,,0.5,induced_schema_preserving,,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Coarsening-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.,a39695f0a1ef888e842006025dc8cf9b04d41405267d31c712c0ffa4872ae62e,c173cec7419a17af435b5de1827082a44cd38f11452bef6aff645c223ff8f79a,local:external_tp_baseline_impl,
DBLP,FreeHGC-score-TP,external_tp_baseline,support_node_ratio,0.5,,0.5,induced_schema_preserving,,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,FreeHGC-score-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.,60b6b3b155be9692b18682f3dbaf5d847bf87bb4a9f61914f6b215960daa6e64,f3f671e83df018adad4d03a51bb5b28058c334646b9601f47f3c3b9f87f29138,local:external_tp_baseline_impl,https://github.com/GooLiang/FreeHGC
ACM,Random-HG-TP,external_tp_baseline,support_node_ratio,0.5,,0.5,induced_schema_preserving,,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Random-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.,343bf2688d5c19b916a6cb23f5b5b06f94ca9ecebd12f3e12b648e7001f49c8c,792411703cee192a41643aaf47b2b92efb0fae1fefb661ca1c74bb3bebb1bf90,local:external_tp_baseline_impl,
ACM,Herding-HG-TP,external_tp_baseline,support_node_ratio,0.5,,0.5,induced_schema_preserving,,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Herding-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.,c9099585bbd47b9cdd6399db1386b080a26cd4a8e273a29e966fea45cb4faa48,c53e474fd23227bac7a2ebbd04dd6f902c20a0b889e310f2d083271051652f6f,local:external_tp_baseline_impl,
ACM,KCenter-HG-TP,external_tp_baseline,support_node_ratio,0.5,,0.5,induced_schema_preserving,,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,KCenter-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.,8c0a521d2b23d2699ed493996b800267b51702652a2da6f8fdb22aba7e7deab5,89973f449ee7fe92e72d523f495ef9afe5dce08b710bfec86d982c7f2eb6a51e,local:external_tp_baseline_impl,
