dataset,method,graph_seed,training_seed,official_hgb_exported,official_sehgnn_unmodified,attempted_official_sehgnn_run,training_executed,success,failure_type,failure_reason,test_micro_f1,test_macro_f1,validation_micro_f1,validation_macro_f1,recovery_vs_native_full_micro,recovery_vs_native_full_macro,selector_input_semantics,uses_test_metrics_for_selection,selection_config_hash,source_gate,method_family,protocol_family,schema_compatible,target_preserving,uses_adapter_loader,uses_synthetic_nodes,uses_weighted_superedges,eligible_for_official_main_table,eligible_for_adapter_table,eligible_for_external_tp_table,eligible_for_standard_condensation_table,eligible_for_decision,diagnostic_only,uses_test_labels_for_selection,no_test_metric_used_for_selection,no_test_leakage,support_node_ratio,support_edge_ratio,structural_storage_ratio,raw_hgb_text_byte_ratio,preprocessed_cache_byte_ratio,static_inference_package_ratio,transform_recipe_package_ratio,reconstructable_package_ratio
DBLP,H6-node30,1,3,True,True,True,True,True,,,0.947887,0.944371,0.942387,0.938376,0.9959296504059317,0.9957633418354706,"target-support,support-target-feedback,support-context,class-proxy,feature-redundant-attribute,cost-normalized-validation-utility",False,6cc976f65836944fd78e8774abb1a00db12cd6659736dcc32ee40242ee445a04,gate21_0_real_official_training,cross_dataset,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,True,False,False,True,True,,,,,,,,
DBLP,H6-node30,1,4,True,True,True,True,True,,,0.941197,0.936866,0.942387,0.941682,0.987804583671366,0.9872555218344292,"target-support,support-target-feedback,support-context,class-proxy,feature-redundant-attribute,cost-normalized-validation-utility",False,6cc976f65836944fd78e8774abb1a00db12cd6659736dcc32ee40242ee445a04,gate21_0_real_official_training,cross_dataset,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,True,False,False,True,True,,,,,,,,
DBLP,H6-node30,1,5,True,True,True,True,True,,,0.9482389999999999,0.944818,0.946502,0.942473,0.9940935533346682,0.9941057637675975,"target-support,support-target-feedback,support-context,class-proxy,feature-redundant-attribute,cost-normalized-validation-utility",False,6cc976f65836944fd78e8774abb1a00db12cd6659736dcc32ee40242ee445a04,gate21_0_real_official_training,cross_dataset,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,True,False,False,True,True,,,,,,,,
DBLP,random-edge-relation-wise,1,1,False,False,False,False,False,cross_dataset_task_not_executed,No local official SeHGNN task metric exists for this required Gate21.14 cross-dataset method/seed.,NaN,NaN,NaN,NaN,NaN,NaN,"target-support,support-target-feedback,support-context,class-proxy,feature-redundant-attribute,cost-normalized-validation-utility",False,c363db4c5747ba8091a85290efa40ad94551150b159582c594b899f6f0186d4c,,cross_dataset,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,True,False,True,True,,,,,,,,
DBLP,random-edge-relation-wise,1,2,False,False,False,False,False,cross_dataset_task_not_executed,No local official SeHGNN task metric exists for this required Gate21.14 cross-dataset method/seed.,NaN,NaN,NaN,NaN,NaN,NaN,"target-support,support-target-feedback,support-context,class-proxy,feature-redundant-attribute,cost-normalized-validation-utility",False,c363db4c5747ba8091a85290efa40ad94551150b159582c594b899f6f0186d4c,,cross_dataset,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,True,False,True,True,,,,,,,,
DBLP,random-edge-relation-wise,1,3,False,False,False,False,False,cross_dataset_task_not_executed,No local official SeHGNN task metric exists for this required Gate21.14 cross-dataset method/seed.,NaN,NaN,NaN,NaN,NaN,NaN,"target-support,support-target-feedback,support-context,class-proxy,feature-redundant-attribute,cost-normalized-validation-utility",False,c363db4c5747ba8091a85290efa40ad94551150b159582c594b899f6f0186d4c,,cross_dataset,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,True,False,True,True,,,,,,,,
DBLP,random-edge-relation-wise,1,4,False,False,False,False,False,cross_dataset_task_not_executed,No local official SeHGNN task metric exists for this required Gate21.14 cross-dataset method/seed.,NaN,NaN,NaN,NaN,NaN,NaN,"target-support,support-target-feedback,support-context,class-proxy,feature-redundant-attribute,cost-normalized-validation-utility",False,c363db4c5747ba8091a85290efa40ad94551150b159582c594b899f6f0186d4c,,cross_dataset,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,True,False,True,True,,,,,,,,
DBLP,random-edge-relation-wise,1,5,False,False,False,False,False,cross_dataset_task_not_executed,No local official SeHGNN task metric exists for this required Gate21.14 cross-dataset method/seed.,NaN,NaN,NaN,NaN,NaN,NaN,"target-support,support-target-feedback,support-context,class-proxy,feature-redundant-attribute,cost-normalized-validation-utility",False,c363db4c5747ba8091a85290efa40ad94551150b159582c594b899f6f0186d4c,,cross_dataset,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,True,False,True,True,,,,,,,,
DBLP,HeSF-RCS-auto structural30,1,1,False,False,False,False,False,cross_dataset_task_not_executed,No local official SeHGNN task metric exists for this required Gate21.14 cross-dataset method/seed.,NaN,NaN,NaN,NaN,NaN,NaN,"target-support,support-target-feedback,support-context,class-proxy,feature-redundant-attribute,cost-normalized-validation-utility",False,fee3097162ce7b58383af20cd367129fed5d0c608e92f897885d99165235b356,,cross_dataset,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,True,False,True,True,,,,,,,,
DBLP,HeSF-RCS-auto structural30,1,2,False,False,False,False,False,cross_dataset_task_not_executed,No local official SeHGNN task metric exists for this required Gate21.14 cross-dataset method/seed.,NaN,NaN,NaN,NaN,NaN,NaN,"target-support,support-target-feedback,support-context,class-proxy,feature-redundant-attribute,cost-normalized-validation-utility",False,fee3097162ce7b58383af20cd367129fed5d0c608e92f897885d99165235b356,,cross_dataset,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,True,False,True,True,,,,,,,,
DBLP,HeSF-RCS-auto structural30,1,3,False,False,False,False,False,cross_dataset_task_not_executed,No local official SeHGNN task metric exists for this required Gate21.14 cross-dataset method/seed.,NaN,NaN,NaN,NaN,NaN,NaN,"target-support,support-target-feedback,support-context,class-proxy,feature-redundant-attribute,cost-normalized-validation-utility",False,fee3097162ce7b58383af20cd367129fed5d0c608e92f897885d99165235b356,,cross_dataset,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,True,False,True,True,,,,,,,,
DBLP,HeSF-RCS-auto structural30,1,4,False,False,False,False,False,cross_dataset_task_not_executed,No local official SeHGNN task metric exists for this required Gate21.14 cross-dataset method/seed.,NaN,NaN,NaN,NaN,NaN,NaN,"target-support,support-target-feedback,support-context,class-proxy,feature-redundant-attribute,cost-normalized-validation-utility",False,fee3097162ce7b58383af20cd367129fed5d0c608e92f897885d99165235b356,,cross_dataset,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,True,False,True,True,,,,,,,,
DBLP,HeSF-RCS-auto structural30,1,5,False,False,False,False,False,cross_dataset_task_not_executed,No local official SeHGNN task metric exists for this required Gate21.14 cross-dataset method/seed.,NaN,NaN,NaN,NaN,NaN,NaN,"target-support,support-target-feedback,support-context,class-proxy,feature-redundant-attribute,cost-normalized-validation-utility",False,fee3097162ce7b58383af20cd367129fed5d0c608e92f897885d99165235b356,,cross_dataset,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,True,False,True,True,,,,,,,,
DBLP,HeSF-RCS-auto structural20,1,1,False,False,False,False,False,cross_dataset_task_not_executed,No local official SeHGNN task metric exists for this required Gate21.14 cross-dataset method/seed.,NaN,NaN,NaN,NaN,NaN,NaN,"target-support,support-target-feedback,support-context,class-proxy,feature-redundant-attribute,cost-normalized-validation-utility",False,5263056b54b43ba817468f6a23d5092000144fcf6b77e8f21d5dc13a9dba0bab,,cross_dataset,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,True,False,True,True,,,,,,,,
DBLP,HeSF-RCS-auto structural20,1,2,False,False,False,False,False,cross_dataset_task_not_executed,No local official SeHGNN task metric exists for this required Gate21.14 cross-dataset method/seed.,NaN,NaN,NaN,NaN,NaN,NaN,"target-support,support-target-feedback,support-context,class-proxy,feature-redundant-attribute,cost-normalized-validation-utility",False,5263056b54b43ba817468f6a23d5092000144fcf6b77e8f21d5dc13a9dba0bab,,cross_dataset,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,True,False,True,True,,,,,,,,
DBLP,HeSF-RCS-auto structural20,1,3,False,False,False,False,False,cross_dataset_task_not_executed,No local official SeHGNN task metric exists for this required Gate21.14 cross-dataset method/seed.,NaN,NaN,NaN,NaN,NaN,NaN,"target-support,support-target-feedback,support-context,class-proxy,feature-redundant-attribute,cost-normalized-validation-utility",False,5263056b54b43ba817468f6a23d5092000144fcf6b77e8f21d5dc13a9dba0bab,,cross_dataset,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,True,False,True,True,,,,,,,,
DBLP,HeSF-RCS-auto structural20,1,4,False,False,False,False,False,cross_dataset_task_not_executed,No local official SeHGNN task metric exists for this required Gate21.14 cross-dataset method/seed.,NaN,NaN,NaN,NaN,NaN,NaN,"target-support,support-target-feedback,support-context,class-proxy,feature-redundant-attribute,cost-normalized-validation-utility",False,5263056b54b43ba817468f6a23d5092000144fcf6b77e8f21d5dc13a9dba0bab,,cross_dataset,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,True,False,True,True,,,,,,,,
DBLP,HeSF-RCS-auto structural20,1,5,False,False,False,False,False,cross_dataset_task_not_executed,No local official SeHGNN task metric exists for this required Gate21.14 cross-dataset method/seed.,NaN,NaN,NaN,NaN,NaN,NaN,"target-support,support-target-feedback,support-context,class-proxy,feature-redundant-attribute,cost-normalized-validation-utility",False,5263056b54b43ba817468f6a23d5092000144fcf6b77e8f21d5dc13a9dba0bab,,cross_dataset,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,True,False,True,True,,,,,,,,
DBLP,best available external TP baseline,1,1,False,False,False,False,False,cross_dataset_task_not_executed,No local official SeHGNN task metric exists for this required Gate21.14 cross-dataset method/seed.,NaN,NaN,NaN,NaN,NaN,NaN,"target-support,support-target-feedback,support-context,class-proxy,feature-redundant-attribute,cost-normalized-validation-utility",False,68aba1d3fd3d22f603b043ea0a6800ab2fbefa994d73462b21ee3e99b81dca3c,,cross_dataset,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,True,False,True,True,,,,,,,,
DBLP,best available external TP baseline,1,2,False,False,False,False,False,cross_dataset_task_not_executed,No local official SeHGNN task metric exists for this required Gate21.14 cross-dataset method/seed.,NaN,NaN,NaN,NaN,NaN,NaN,"target-support,support-target-feedback,support-context,class-proxy,feature-redundant-attribute,cost-normalized-validation-utility",False,68aba1d3fd3d22f603b043ea0a6800ab2fbefa994d73462b21ee3e99b81dca3c,,cross_dataset,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,True,False,True,True,,,,,,,,
